time,Tinlet,Flowrate,Heat_flux,Tmax,Tmax_prev
15315,24.690227,281.219221,21.93456617,54.39118,54.579995
15316,24.68225,281.290326,21.7959773,54.186221,54.39118
15317,24.679152,281.590574,21.57360918,53.998605,54.186221
15318,24.677959,280.637693,21.93456617,53.817106,53.998605
15319,24.675006,280.886271,21.93456617,53.633869,53.817106
15320,24.669996,280.966919,21.71078414,53.45919,53.633869
15321,24.672929,280.373288,22.07315505,53.26522,53.45919
15322,24.681512,280.072574,22.07315505,53.093862,53.26522
15323,24.665203,281.361082,21.93456617,52.90877,53.093862
15324,24.666713,280.70007,21.8479591,52.713346,52.90877
15325,24.669857,281.307782,22.07315505,52.541576,52.713346
15326,24.649553,280.859737,21.93456617,52.360858,52.541576
15327,24.661854,279.696216,21.8479591,52.197094,52.360858
15328,24.670787,279.732409,22.06449367,52.035432,52.197094
15329,24.658176,280.555532,22.06449367,51.868034,52.035432
15330,24.657253,282.000798,22.06449367,51.706402,51.868034
15331,24.665045,280.677726,21.98513406,51.534782,51.706402
15332,24.656508,280.490944,21.8479591,51.372665,51.534782
15333,24.666304,281.537973,21.8479591,51.223714,51.372665
15334,24.673582,281.430209,22.34156266,51.077248,51.223714
15335,24.667833,280.606272,22.20302817,50.916682,51.077248
15336,24.66045,280.612672,22.14201782,50.77232,50.916682
15337,24.672632,280.641301,22.1943124,50.631058,50.77232
15338,24.676963,280.695997,22.20302817,50.478947,50.631058
15339,24.671479,280.344543,22.20302817,50.331211,50.478947
15340,24.663008,282.065386,22.06449367,50.173544,50.331211
15341,24.668097,280.846005,22.20302817,50.049435,50.173544
15342,24.659705,281.851837,22.20302817,49.899941,50.049435
15343,24.660589,280.784326,21.98513406,49.76244,49.899941
15344,24.662606,282.115195,21.98513406,49.631002,49.76244
15345,24.658611,281.056295,21.98513406,49.495928,49.631002
15346,24.660094,280.241086,21.8479591,49.370943,49.495928
15347,24.65637,279.706457,21.8479591,49.244915,49.370943
15348,24.655018,281.786318,22.20302817,49.123005,49.244915
15349,24.648248,281.933649,22.20302817,48.999169,49.123005
15350,24.647246,280.743595,22.06449367,48.866513,48.999169
15351,24.65956,280.743013,22.20302817,48.751625,48.866513
15352,24.662342,281.074217,22.06449367,48.631009,48.751625
15353,24.6543,281.816575,21.98513406,48.51605,48.631009
15354,24.658921,280.571592,22.20302817,48.420262,48.51605
15355,24.652177,281.323842,22.20302817,48.292548,48.420262
15356,24.646066,281.553102,22.20302817,48.182843,48.292548
15357,24.655045,280.497461,22.20302817,48.080678,48.182843
15358,24.645743,280.531326,22.23632092,47.963763,48.080678
